tag,prefix,number,meaning,variable,role,is_safety,x,y,layer
TT569,TT,569,Temperature Transmitter,temperature,sensor,False,768.85,290.34,Pre-series
CF100,CF,100,CF-flange callout,mechanical,annotation,False,338.16,172.29,INVAC
CF40,CF,40,CF-flange callout,mechanical,annotation,False,274.764808,463.070363,INVAC
CV590,CV,590,Control Valve,control,valve,False,47.5,304.0,PeMo-HEGU1
LS590,LS,590,Level Switch,level,switch,False,15.27,292.24,PeMo-HEGU1
PT590,PT,590,Pressure Transmitter,pressure,sensor,False,65.83,323.74,PeMo-HEGU1
HL570,HL,570,Heat Load annotation,heat,annotation,False,383.16,448.26,Heat loads
HL586,HL,586,Heat Load annotation,heat,annotation,False,380.98,365.33,Heat loads
HL587,HL,587,Heat Load annotation,heat,annotation,False,450.28,344.46,Heat loads
HL552,HL,552,Heat Load annotation,heat,annotation,False,718.94,449.64,Heat loads
HL551,HL,551,Heat Load annotation,heat,annotation,False,718.83,392.56,Heat loads
HL502,HL,502,Heat Load annotation,heat,annotation,False,611.45,449.37,Heat loads
HL503,HL,503,Heat Load annotation,heat,annotation,False,612.27,470.92,Heat loads
HL532,HL,532,Heat Load annotation,heat,annotation,False,522.31,475.97,Heat loads
HL501,HL,501,Heat Load annotation,heat,annotation,False,576.35,349.63,Heat loads
HL531,HL,531,Heat Load annotation,heat,annotation,False,522.77,449.54,Heat loads
HL550,HL,550,Heat Load annotation,heat,annotation,False,665.65,365.31,Heat loads
HL553,HL,553,Heat Load annotation,heat,annotation,False,718.17,470.22,Heat loads
HL562,HL,562,Heat Load annotation,heat,annotation,False,769.66,470.26,Heat loads
HL563,HL,563,Heat Load annotation,heat,annotation,False,769.13,450.4,Heat loads
HL564,HL,564,Heat Load annotation,heat,annotation,False,769.86,300.4,Heat loads
HL569,HL,569,Heat Load annotation,heat,annotation,False,522.88,236.92,Heat loads
HL571,HL,571,Heat Load annotation,heat,annotation,False,381.44,473.78,Heat loads
HL582,HL,582,Heat Load annotation,heat,annotation,False,419.17,448.69,Heat loads
HL585,HL,585,Heat Load annotation,heat,annotation,False,416.53,400.32,Heat loads
HL584,HL,584,Heat Load annotation,heat,annotation,False,416.06,414.21,Heat loads
HL589,HL,589,Heat Load annotation,heat,annotation,False,506.27,262.1,Heat loads
HL588,HL,588,Heat Load annotation,heat,annotation,False,482.01,238.62,Heat loads
HL500,HL,500,Heat Load annotation,heat,annotation,False,489.46,218.94,Heat loads
HL581,HL,581,Heat Load annotation,heat,annotation,False,416.79,474.49,Heat loads
HLxxx,HL,xxx,Heat Load annotation,heat,annotation,False,967.48,455.29,Heat loads
AA00xx,AA,00xx,Analysis / Alarm,analysis,alarm,False,606.36,61.5,Utilities NA.PS
AA00xx,AA,00xx,Analysis / Alarm,analysis,alarm,False,633.23,62.05,Utilities NA.PS
